market_ID,vendor_ID,City,Health_unit,Yearround,Visit_date,Visit_month,Visit_day,Location,Public_private,no_vendors,no_TCSfood_vendors,communal_sinks,electrical_access,pet_signs,pets_visible,no_vendors_working,time_start,vendor_roles,TCS_rawmeat,TCS_rtemeat,TCS_preparedfood,TCS_produce,TCS_sprouts,TCS_cheese_dairy,TCS_eggs,TCS_cider_juice,FS_info,FS_info_description,Visible_handwashing_station,Visible_sanitizer,Visible_trashcan_lid,Visible_trashcan_nolid,Visible_trashcan,Visible_none,Clean_contact_surfaces,Food_off_ground,Protect_sneeze,Protect_mesh,Protect_plastic,Protect_coolers,Protect_covered,Protect_none_forsome,Protect_atleastone,Rawmeats_separate,Coldholding_foods_sold,Cold_units,Cold_coolers,Cold_ice,Cold_none_forsome,Coldholding_thermometers,Hotholding_foods_sold,Hot_units,Hot_grill,Hot_none_forsome,Hotholding_thermometers,Cooking_thermometeres,Food_samples,TCSfood_samples,Sample_types,Samples_singleservingitems,gender,vendor_cleanattire,vendor_hair,vendor_healthy,beh_handle_food,beh_cash,beh_waste,beh_dishes,beh_phone,beh_belongings,beh_pickup,beh_touchface,beh_eatdrink,beh_smoke,beh_animals,beh_coughsneeze,transactions,handwashing_attempts,handwashing_adequate,sanitizer_use,Handle_hands,Handle_gloves,Handle_tongs,Handle_napkin_plastic,gloves_changed,end_time
1,1.0,North York,Toronto,No,2018-06-07,June,Thursday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",9,4,Yes,No,No,Yes,1.0,13:05:00,Multiple work roles,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,No,,1.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,0.0,0.0,1.0,1.0,0.0,0.0,1.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,1.0,1.0,1.0,No,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,Yes,Yes,Cheeses,No,Male,Yes,No,Yes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,13:18:00
1,2.0,North York,Toronto,No,2018-06-07,June,Thursday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",9,4,Yes,No,No,Yes,2.0,12:45:00,Multiple work roles,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,No,,1.0,1.0,0.0,0.0,0.0,0.0,Yes,Yes,1.0,0.0,1.0,0.0,0.0,0.0,1.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,0.0,1.0,0.0,Yes,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,Yes,Yes,cured meat and cheese,No,Female,Yes,Yes,Yes,1.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,13:03:00
1,3.0,North York,Toronto,No,2018-06-07,June,Thursday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",9,4,Yes,No,No,Yes,2.0,11:56:00,Multiple work roles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No,,1.0,1.0,0.0,1.0,1.0,0.0,Yes,Yes,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"N/a - no raw meats, poultry or fish are present",No,0.0,0.0,0.0,0.0,N/a - no foods are being sold that require cold-holding temperature control,Yes,0.0,1.0,1.0,No,No,Yes,Yes,Perogies ,No,Male,Yes,Yes,Yes,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,12:11:00
1,4.0,North York,Toronto,No,2018-06-07,June,Thursday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",9,4,Yes,No,No,Yes,3.0,12:21:00,Multiple work roles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,,0.0,0.0,0.0,0.0,0.0,1.0,Yes,Yes,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,0.0,0.0,1.0,No,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,No,No,,N/a - no food samples are offerred,Male,Yes,Yes,Yes,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,12:34:00
2,5.0,Etobicoke,Toronto,No,2018-06-09,June,Saturday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",12,7,Yes,Yes,No,No,2.0,09:47:00,Multiple work roles,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,No,,0.0,0.0,0.0,0.0,0.0,1.0,Yes,Yes,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,0.0,0.0,1.0,No,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,No,No,,N/a - no food samples are offerred,Male,Yes,Yes,Yes,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,10:00:00
2,6.0,Etobicoke,Toronto,No,2018-06-09,June,Saturday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",12,7,Yes,Yes,No,No,1.0,10:01:00,Multiple work roles,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,1.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Yes,Yes,1.0,0.0,0.0,0.0,No,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,Yes,Yes,Cured meat,No,Male,Yes,Yes,Yes,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10:15:00
2,7.0,Etobicoke,Toronto,No,2018-06-09,June,Saturday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",12,7,Yes,Yes,No,No,2.0,10:23:00,Multiple work roles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,No,,0.0,0.0,0.0,1.0,1.0,0.0,Yes,Yes,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,0.0,0.0,1.0,N/a - no foods are being sold that require cold-holding temperature control,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,Yes,Yes,Apple cider,"Yes, for all samples",Female,Yes,Yes,Yes,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,10:34:00
2,8.0,Etobicoke,Toronto,No,2018-06-09,June,Saturday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",12,7,Yes,Yes,No,No,1.0,10:40:00,Multiple work roles,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,No,,1.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Yes,Yes,1.0,0.0,0.0,0.0,Can't tell,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,No,No,,N/a - no food samples are offerred,Female,Yes,Yes,Yes,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,10:50:00
2,9.0,Etobicoke,Toronto,No,2018-06-09,June,Saturday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",12,7,Yes,Yes,No,No,2.0,08:54:00,Single work roles,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,No,,1.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes,Yes,0.0,1.0,0.0,1.0,No,Yes,1.0,1.0,0.0,No,No,No,No,,N/a - no food samples are offerred,Female,Yes,Yes,Yes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,09:08:00
2,10.0,Etobicoke,Toronto,No,2018-06-09,June,Saturday,Outdoors only,"Publicly owned property (e.g. community centres, parks)",12,7,Yes,Yes,No,No,2.0,09:17:00,Multiple work roles,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,No,,1.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,1.0,0.0,0.0,1.0,0.0,0.0,1.0,"N/a - no raw meats, poultry or fish are present",Yes,0.0,0.0,1.0,0.0,Can't tell,No,0.0,0.0,0.0,N/a - no foods are being sold that require hot-holding temperature control,N/a - no food is being cooked on site,Yes,Yes,Cured meats,No,Male,Yes,Yes,Yes,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,09:28:00
